,Título da checagem,Data da checagem,Natureza da notícia,Candidato(s) favorecidos(s) pela notícia falsa,Agência,Link
34,"Vídeo cortado omite que apresentadora do UOL se referia a Simone Tebet, não a Vera Magalhães",8/31/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32HE9GJ
35,"Vídeo de 2020 foi cortado para simular contradição de Renata Vasconcellos sobre o ""fique em casa""",8/31/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32HE9ZK
36,"Lula não chamou apoiadores de vagabundos, traficantes e bandidos; vídeo viral foi editado",9/1/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32HG9YG
37,Reportagem da CNN não revelou plano do PT para confiscar dinheiro da população se Lula for eleito,9/1/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32HH3FY
38,Salário anual de Vera Magalhães na TV Cultura não é de R$ 500 mil; é de quase metade desse valor,9/1/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32HH3UW
39,"Artigo do C5N foi publicado minutos após o ataque a Cristina Kirchner, e não ""horas antes""",9/2/2022,Falsa,indefinido,AFP Checamos,https://checamos.afp.com/doc.afp.com.32HK2MZ
40,"Instituto Lula não fica no mesmo endereço do Ipec, que realiza pesquisas eleitorais",9/5/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32HQ3HU
41,O militante fotografado com Cristina Kirchner em 2016 não é quem a atacou em 2022,9/5/2022,Falsa,indefinido,AFP Checamos,https://checamos.afp.com/doc.afp.com.32HQ6J9
42,"Vídeo não mostra ataque em Sergipe a apoiadores de Lula, mas sim a profissionais da imprensa",9/6/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32HR87K
43,Imagem de Flávio Bolsonaro com uma camisa contra nordestinos é montagem,9/6/2022,Falsa,Lula,AFP Checamos,https://checamos.afp.com/doc.afp.com.32HT2NW
44,Vocalista do Iron Maiden não declarou apoio a Bolsonaro no Rock in Rio 2022,9/7/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32HV37E
45,"CNSaúde iniciou ação contra piso da enfermagem, e não Conselho Nacional de Saúde",9/7/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32HV9NB
46,Fernando Sabag Montiel não usou uma pistola de água em atentado contra Cristina Kirchner,9/8/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32HX72H
47,Vídeo com multidão de apoiadores de Jair Bolsonaro não é de 2022; circula desde 2021,9/8/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32HY7UZ
48,Vídeo de Lula falando em comprar voto de baianos por 10 reais foi manipulado,9/8/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32HY7YP
49,Mesário não tem como anular votos e alterar a assinatura do eleitor é crime eleitoral,9/9/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32J277T
50,"Vídeo de gritos contra Lula circula vinculado ao Rock in Rio, mas foi gravado em show em Manaus",9/9/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32J32B8
51,Um combo de quatro fotos de multidões em 7 de setembro de 2021 circula vinculado a 2022,9/9/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32J33UK
52,"Gleisi Hoffmann não ""previu derrota do PT"" após 1º debate de 2022; áudio de 2020 foi editado",9/9/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32J34VY
53,"Na posse presidencial de Lula em 2003 havia, sim, bandeiras do Brasil",9/12/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32J994U
54,"PT votou contra a PEC dos Precatórios, e não contra o Auxílio Brasil como sugere vídeo viral",9/13/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32JC3TGZ
55,"Fala de Lula sobre criação do “Dia de Jesus” não se refere ao Natal, mas à Marcha para Jesus",9/14/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32JE3Q2
56,Áudio em que Bolsonaro parece xingar a primeira-dama antes do desfile de 7 de setembro é falso,9/15/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32JG3ZA
57,A cena de um filme de 1901 não mostra a rainha Elizabeth II jogando comida para crianças pobres,9/15/2022,Falsa,indefinido,AFP Checamos,https://checamos.afp.com/doc.afp.com.32JG32Z
58,"Segundo metodologia do Datafolha, pesquisadores não podem entrevistar pessoas que se voluntariam",9/15/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32JG8CY
59,"Marcelo Freixo não disse em entrevista que, se for eleito, policiais não poderão atirar em ninguém",9/15/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32JG8DJ
60,Band não retirou do ar vídeo com críticas a ministro do STF e ao sistema eleitoral após “ameaças”,9/16/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32JG72Z
61,"O anúncio da impugnação da candidatura de Lula na Rede Globo foi feito em 2018, não em 2022",9/16/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32JJ8EP
62,Joe Biden não morreu nem foi substituído por um suposto irmão gêmeo na Presidência dos EUA,9/16/2022,Falsa,indefinido,AFP Checamos,https://checamos.afp.com/doc.afp.com.32JJ9W9
63,Entenda por que não é juridicamente correto dizer que Lula foi inocentado pelo STF e pela ONU,9/19/2022,,Lula,AFP Checamos,https://checamos.afp.com/doc.afp.com.32JQ4VY
64,Vídeo do Jornal Nacional foi adulterado para mostrar Jair Bolsonaro à frente em pesquisa Ipec,9/19/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32JQ6PA
65,"Maiara e Maraisa pararam show por brigas na plateia, não por se posicionarem contra Bolsonaro",9/19/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32JQ6RK
66,Checamos as principais alegações de Jair Bolsonaro na 77ª Assembleia Geral da ONU,9/20/2022,,indefinido,AFP Checamos,https://checamos.afp.com/doc.afp.com.32JT436
67,Supostos áudios de Lula e Gleisi Hoffmann após debate foram editados e circulam desde 2017,9/21/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32JU2TL
68,Usuários erram ao vincular foto de rei Charles III à morte da rainha Elizabeth II; registro é de 2018,9/21/2022,Falsa,indefinido,AFP Checamos,https://checamos.afp.com/doc.afp.com.32JT3YP-1
69,"Homem que aparece neste vídeo apoiando Bolsonaro é analista argentino, e não embaixador",9/21/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32JU3GL-1
70,Reinaldo Azevedo não atacou Lula quando participou de programa; trechos são de 2017 e 2021,9/22/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32JW6ZW-1
71,"Em entrevista ao UOL em 27 de julho de 2022, Lula não afirmou que acabaria com o PIX",9/22/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32JW9C8-1
72,Foto de Lula com a rainha Elizabeth II não foi exibida em Piccadilly Circus; esta é uma montagem,9/22/2022,Falsa,Lula,AFP Checamos,https://checamos.afp.com/doc.afp.com.32JX3EL-1
73,"Vídeo de Bolsonaro cumprimentando apoiadores é de 2021 e foi gravado em São Paulo, não nos EUA",9/23/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32JZ2UE-1
74,"Código Eleitoral prevê prisão em diversos casos no dia da eleição, não apenas pelo uso de celular",9/23/2022,Falsa,indefinido,AFP Checamos,https://checamos.afp.com/doc.afp.com.32JZ2UN-1
75,Gravação de protesto de 2013 na Avenida Paulista circula como se fosse na Bahia em 2022,9/23/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32JZ4M7-1
76,Homem em situação de rua não tentou atacar Bolsonaro com faca; ele segurava um tipo de rádio,9/23/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32JZ6DM-1
77,"É falso que o presidente Jair Bolsonaro tenha deixado o Exército por ""insanidade mental""",9/26/2022,Falsa,Lula,AFP Checamos,https://checamos.afp.com/doc.afp.com.32K69NH-1
78,Denúncia de policiais sobre suposto problema nas urnas é de 2018 e foi considerada infundada,9/26/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32K77GK
79,É uma montagem a “notícia” do portal g1 com declaração de Lula sobre empréstimos à Venezuela,9/26/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32K77MH
80,Cinco vídeos de protestos no Chile em 2019 circulam como se fossem atuais,9/27/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32K96GF
81,Vídeo da CNN mostra análise de pesquisa no Rio e não “admissão” de derrota do PT nas eleições,9/27/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32K98EL
82,Vídeo em que Luciano Huck anuncia doações foi gravado em 2020 e não tem relação com as eleições,9/28/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32KA9Y4-1
83,Paraná Pesquisas não fez levantamento que mostra vitória de Bolsonaro em todos os estados em 2022,9/28/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32KB7ZD
84,"Declaração de Ciro Gomes sobre ""fraude eleitoral"" não era sobre segurança de urnas eletrônicas",9/28/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32KB9HU
85,"Nova funcionalidade das urnas em 2022 estimula eleitor a conferir seu voto, mas não o anula",9/28/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32KC2CF
86,"Apenas cinco estados do Brasil votarão das 7h às 16h, para acompanhar o fuso de Brasília",9/28/2022,Parcialmente verdadeira,indefinido,AFP Checamos,https://checamos.afp.com/doc.afp.com.32KC2FF
87,"Homem precisou remover pintura de calçada por violação do Código Eleitoral, não por ""censura""",9/29/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32KD7VX
88,Verificamos o último debate presidencial antes do primeiro turno das eleições 2022,9/30/2022,,indefinido,AFP Checamos,https://checamos.afp.com/doc.afp.com.32KE3DT
89,"Jair Bolsonaro disse que morou em Nioaque (MS), e não que o Acre fica no Mato Grosso do Sul",9/30/2022,Falsa,Lula,AFP Checamos,https://checamos.afp.com/doc.afp.com.32KF9WH
90,Projeto para abrigar sem-teto em casas com mais de 60 m² não consta em plano de governo de Lula,9/30/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32KG3U2
91,Eleições 2022: Checamos as principais dúvidas sobre a votação,9/30/2022,,indefinido,AFP Checamos,https://checamos.afp.com/doc.afp.com.32KG4K7
92,"Vídeo que pede que eleitores fotografem boletins de urna é de 2014, ação não está vigente em 2022",10/1/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32KH7NG
93,Fotos de 2018 são usadas erroneamente para denunciar fraude em urnas em 2022,10/1/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32KJ2NE
94,"Nas eleições de 2022, o número de urnas subiu no exterior e baixou nos presídios, oposto ao viralizado",10/1/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32KJ4JP
95,Gravação de 2015 é usada para insinuar que o WhatsApp seria bloqueado em outubro de 2022,10/2/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32KK9X6
96,É montagem a imagem em que Ciro Gomes aparece fazendo o número 22,10/2/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32KL44T
97,"Vídeo de apoiadores de Bolsonaro rezando em shopping foi gravado no Brasil, não na Austrália",10/2/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32KL467
98,"Boletins de urna não são usados na contagem de votos, como sugere vídeo viral",10/4/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32KP7TQ
99,"Vídeo de presos comemorando é de 2016, sem relação com votos de Lula nas eleições de 2022",10/4/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32KP9ZE
100,"Mensagem sobre 7,2 milhões de votos anulados em eleição circula desde 2018 e é falsa",10/4/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32KP4ZA
101,"Lula recebeu cerca de 48 mil votos em Barreiras no 1º turno das eleições, não mais de 213 mil",10/4/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32KQ4DY
102,Não é verdade que a totalização dos votos seguiu um algoritmo a favor de Lula nas eleições de 2022,10/5/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32KR89R
103,Símbolo ligado ao satanismo foi inserido digitalmente em foto de Bolsonaro com maçons,10/5/2022,Falsa,Lula,AFP Checamos,https://checamos.afp.com/doc.afp.com.32KT34G
104,A Jovem Pan News mostrou Bolsonaro com 55% dos votos no Paraná; vídeo não contém falha do TSE,10/5/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32KT4AJ
105,Expressão usada por Lula foi tirada de contexto em fala sobre defesa da educação,10/6/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32KU99V
106,"Divergência de números em seção no Amapá se deu por voto em trânsito, não por fraude na urna",10/6/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32KU9BF
107,São falsos os dados da lista de cidades em que “até os mortos” teriam votado em Lula,10/6/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32KV72C
108,"Divergência de números em seção em Uberaba se deu por voto em trânsito, e não por fraude na urna",10/7/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32KX2NQ
109,"Comprovantes de votos do 2º turno de 2022 foram descartados por gráfica, não entregues a eleitores",10/7/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32KX4E6
110,É uma montagem a suposta notícia do g1 com fala de Lula sobre “nem Deus” tirar as eleições dele,10/7/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32KX8K6
111,Cartaz viralizado com supostas proibições durante a Copa do Catar não é oficial,10/7/2022,Falsa,indefinido,AFP Checamos,https://checamos.afp.com/doc.afp.com.32KX8TE
112,"TSE não vetou campanha de vacinação contra polio, e sim pronunciamento de ministro",10/8/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32KY86R
113,Erro em exibição de votos de zonas eleitorais de Maceió não prova fraude nas eleições,10/10/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32L24ZX
114,"Dias Toffoli não “assumiu” a presidência do TSE, e sim tomou posse como ministro substituto",10/10/2022,Falsa,indefinido,AFP Checamos,https://checamos.afp.com/doc.afp.com.32L46LP
115,Bolsonaro se referiu à avó de Michelle quando falou sobre condenação por tráfico de drogas,10/10/2022,Falsa,Lula,AFP Checamos,https://checamos.afp.com/doc.afp.com.32L49UK
116,Vídeo do Jornal Nacional foi adulterado para mostrar Jair Bolsonaro à frente de Lula no 2º turno,10/10/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32L49X6
117,O vídeo em que Jair Bolsonaro supostamente insinua que confiscará aposentadorias foi editado,10/11/2022,Falsa,Lula,AFP Checamos,https://checamos.afp.com/doc.afp.com.32L76VD
118,Lula não ameaçou o governador Zema durante discurso em Minas Gerais; vídeo foi adulterado,10/11/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32L8222
119,"Colômbia permitiu a maiores de 14 anos casar sem autorização em 2021, no governo de Duque",10/11/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32L84EF
120,"Sigilos de cem anos não são estabelecidos por decreto, mas por lei, e podem ser revogados",10/12/2022,,indefinido,AFP Checamos,https://checamos.afp.com/doc.afp.com.32LA4V3
121,"“CPX”, inscrito em boné usado por Lula, é sigla referente a complexo de favelas, não ao tráfico",10/13/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32LD49U
122,"É montagem a ""notícia"" do g1 com suposta fala de Lula sobre entrega de armas",10/14/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32LF2HN
123,Este não é um “prefeito do PT” sendo preso; o político é filiado ao PROS e era escoltado pela PM,10/14/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32LF42L
124,Lei contra discriminação de comunidade LGBT no Maranhão não cita uso de banheiros,10/17/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32LL82L
125,"Fala do general Heleno sobre risco de atentado era sobre Bolsonaro em 2018, não Tarcísio de Freitas",10/17/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32LL9TP
126,"Lula não usou ponto eletrônico no primeiro debate do 2º turno, segundo imagens do evento",10/17/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32LL9XH
127,É uma montagem o tuíte no qual Haddad parabeniza Maduro por “revolução” na Venezuela,10/18/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32LN4PT
128,"Esta bandeira de cabelo foi hasteada na Martinica, anos antes da morte de Mahsa Amini no Irã",10/18/2022,Falsa,indefinido,AFP Checamos,https://checamos.afp.com/doc.afp.com.32LN72Q
129,Proposta de Erundina citada por Bolsonaro reduzia influência do Executivo sobre o STF,10/18/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32LN8T2
130,É uma montagem o tuíte em que Lula diz que confiscará poupanças para manter o Auxílio Brasil,10/20/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32LT6U8
131,"Vídeo mostra manifestantes entrando em faculdade, não em igreja em Joinville",10/20/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32LU3AT
132,Homem ao lado de Lula em vídeo viral não foi preso em São Paulo por ataque a Tarcísio de Freitas,10/21/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32LV49E
133,Programa Pânico não teve presença de “fiscal do TSE”; a ação foi um protesto durante a transmissão,10/21/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32LV8DF
134,"Argentina não revogou direito de herança, e a proposta não consta em plano de governo de Lula",10/21/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32LV9QD
135,"Lula e Paes estavam ao lado de André Ceciliano em foto, e não do traficante Celsinho da Vila Vintém",10/24/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32M286U
136,É montagem o extrato do INSS que mostra R$ 68 mil de aposentadoria para Bolsonaro,10/24/2022,Falsa,Lula,AFP Checamos,https://checamos.afp.com/doc.afp.com.32M34NX
137,"Sob Bolsonaro, Amazônia registra tendência de alta no desmatamento",10/26/2022,,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32M79GM
138,Denúncias contra o PT em aplicativo do TSE devem ser feitas na aba destinada a federações partidárias,10/26/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32M82DN
139,Plano de governo do PT não inclui propostas “de dominação comunista” citadas nas redes,10/26/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32M82GU
140,"Sequência mostra ação de produtores rurais no rio São Francisco, não “bloqueio” por parte do MST",10/26/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32M86W4
141,"Vídeo mostra operação da PF contra garimpo ilegal no Rio Madeira, não atentado do MST",10/27/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32MA7B7
