,Título da checagem,Data da checagem,Natureza da notícia,Candidato(s) favorecidos(s) pela notícia falsa,Agência,Link
26,Vídeo confunde ao afirmar que voto não seria computado enquanto mensagem “Confira o seu voto” fosse exibida na tela da urna,9/27/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/video-confunde-ao-afirmar-que-voto-nao-seria-computado-enquanto-mensagem-fosse-exibida-tela-urna
27,Fato ou Boato: associar mortes por covid-19 e seções eleitorais é incorreto,9/28/2022,Falsa,Lula,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/fato-ou-boato-associar-mortes-por-covid-19-e-secoes-eleitorais-e-incorreto
28,Mesário não interfere no cômputo do voto; processo é realizado pelo software da urna eletrônica,9/28/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/mesario-nao-interfere-computo-voto
29,É falso que urnas eletrônicas de Cordeiro (RJ) tinham votos já registrados,9/28/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/e-falso-que-urnas-de-cordeiro-tinham-votos-ja-registrados/#
30,É falso que urnas eletrônicas estariam sendo modificadas no sindicato dos metalúrgicos em São Bernardo do Campo (SP),9/29/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/e-falso-que-urnas-eletronicas-estariam-sendo-modificadas-no-sindicato-dos-metalurgicos-em-sao-bernardo-do-campo
31,É falsa a alegação de que o TSE aumentou o número de locais de votação em prisões e diminuiu as seções eleitorais no exterior,9/29/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/e-falsa-a-alegacao-de-que-o-tse-aumentou-o-numero-de-locais-de-votacao-em-prisoes-e-diminuiu-as-secoes-eleitorais-no-exterior
32,Fato: Uso de camiseta do Brasil não está proibido durante as eleições,9/29/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/fato-uso-de-camiseta-do-brasil-nao-esta-proibido-durante-as-eleicoes
33,Comprovante de vacinação e uso de máscaras não são obrigatórios para votar nas Eleições 2022,9/29/2022,Falsa,indefinido,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/comprovante-de-vacinacao-e-uso-de-mascaras-nao-sao-obrigatorios-para-votar-nas-eleicoes-2022
34,Retirar por determinação judicial outdoor com propaganda eleitoral não ataca a liberdade de expressão,9/29/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/retirar-por-determinacao-judicial-outdoor-com-propaganda-eleitoral-nao-ataca-a-liberdade-de-expressao
35,"Horário de votação será das 7h às 16h apenas em Mato Grosso, Mato Grosso do Sul, Rondônia, Roraima e parte do Amazonas",9/29/2022,Parcialmente verdadeira,indefinido,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/horario-de-votacao-sera-das-7h-as-16h-apenas-no-mato-grosso-mato-grosso-do-sul-rondonia-roraima-e-parte-do-amazonas
36,Hacker não desviou votos da urna eletrônica nas Eleições Presidenciais de 2018,9/30/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/hacker-nao-desviou-votos-da-urna-eletronica-nas-eleicoes-presidenciais-de-2018-1
37,"Homem precisou remover pintura de calçada por violação da lei eleitoral, não por ""censura""",9/30/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/homem-precisou-remover-pintura-de-calcada-por-violacao-do-codigo-eleitoral-nao-por-censura
38,É falsa afirmação de que Polícia Federal (PF) conferiu urnas e que já havia votos inseridos nelas,9/30/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/e-falsa-afirmacao-de-que-policia-federal-pf-conferiu-urnas-e-que-ja-havia-votos-inseridos-nelas
39,TRE esclarece sobre vídeo de urna eletrônica no porta-malas de um veículo em Campo Grande (MS),9/30/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/esclarecimento-video-de-urna-eletronica-no-porta-malas-de-um-veiculo-no-ms
40,É falso que eleitores que apoiam candidatos adversários votarão em dias separados,9/30/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/e-falso-que-apoiadores-de-candidatos-adversarios-deverao-votar-em-dias-separados
41,Tuíte engana ao indicar o 17 como número de candidato à Presidência em 2022,9/30/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/tuite-engana-ao-indicar-o-17-como-numero-de-candidato-a-presidencia-em-2022
42,Urnas não foram apreendidas em Serafina Corrêa preenchidas com 81% dos votos para candidato à Presidência,10/1/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/urnas-nao-foram-apreendidas-em-serafina-correa-preenchidas-com-81-dos-votos-para-candidato-a-presidencia
43,Boato: é falso que urnas no Japão apresentaram problemas na digitação de candidatos,10/2/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/boato-e-falso-que-urnas-no-japao-apresentaram-problemas-na-digitacao-de-candidatos
44,Esclarecimento: votar mais de uma vez ou em lugar de outra pessoa é crime eleitoral,10/2/2022,,indefinido,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/esclarecimento-votar-mais-de-uma-vez-ou-em-lugar-de-outra-pessoa-e-crime-eleitoral
45,Confira checagens das principais notícias falsas sobre as Eleições Gerais de 2022,10/2/2022,Falsa,indefinido,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/confira-checagens-das-principais-noticias-falsas-sobre-as-eleicoes-gerais-de-2022
46,Filas em seções eleitorais não devem ser atribuídas à biometria,10/2/2022,Falsa,indefinido,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/filas-em-secoes-eleitorais-nao-devem-ser-atribuidas-a-biometria
47,Táxi que transportava urnas em escola de Pilares (RJ) foi escoltado pela Polícia Militar e por auxiliar da Justiça Eleitoral,10/2/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/taxi-que-transportava-urnas-em-escola-de-pilares-rj-estava-sendo-escoltado-por-policia-militar-e-auxiliar-da-justica-eleitoral
48,Eleitores com biometria coletada não precisam assinar caderno de votação,10/2/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/eleitores-com-biometria-coletada-nao-precisam-assinar-caderno-de-votacao
49,Totalização dos votos em cidades do Brasil e do exterior só foi iniciada às 17h do horário de Brasília,10/2/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/totalizacao-dos-votos-em-cidades-do-brasil-e-do-exterior-so-foi-iniciada-as-17h-do-horario-de-brasilia
50,Vídeo engana ao afirmar que fotos de candidatos foram trocadas em Sapiranga (RS),10/2/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/video-engana-ao-afirmar-que-fotos-de-candidatos-foram-trocadas-em-sapiranga-rs
51,Vídeo de mesário de Sete Lagoas sobre diferença na quantidade de votos na urna contém informação falsa,10/3/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/video-de-mesario-de-sete-lagoas-sobre-diferenca-na-quantidade-de-votos-na-urna-contem-informacao-falsa
52,É falso que boletins de urna em posse de eleitores comprovam que votos não foram computados em Curitiba (PR),10/3/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/e-falso-que-boletins-de-urna-em-posse-de-eleitores-comprovam-que-votos-nao-foram-computados
53,É falso que eleitora não teve voto para presidente computado em Curitiba (PR),10/3/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/e-falso-que-eleitora-nao-teve-voto-computado-em-curitiba-pr
54,TRE-RJ esclarece relatos de eleitores que disseram ter sido impedidos de votar porque outros votaram no lugar,10/3/2022,,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/tre-rj-esclarece-relatos-de-eleitores-que-disseram-ter-sido-impedidos-de-votar-porque-outros-votaram-no-lugar
55,Urna eletrônica que travou no voto para Presidência em Petrópolis (RJ) foi prontamente substituída,10/3/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/urna-eletronica-que-travou-no-voto-para-presidencia-em-petropolis-rj-foi-prontamente-substituida
56,TRE-ES informa: é falsa a informação de que eleitores capixabas já tenham votado para o 2º turno,10/4/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/tre-es-informa-e-falsa-a-informacao-de-que-eleitores-capixabas-ja-tenham-votado-para-o-2o-turno
57,É falso o vídeo que mostra divergência no resultado de Zonas Eleitorais de Maceió (AL),10/4/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/e-falso-o-video-que-mostra-divergencia-no-resultado-de-zonas-eleitorais-de-maceio
58,Caso de eleitora de Manaus (AM) que disse ter sido impedida de votar porque outra pessoa votou por ela já foi resolvido,10/4/2022,,indefinido,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/caso-de-eleitora-de-manaus-am-que-disse-ter-sido-impedida-de-votar-porque-outra-pessoa-votou-por-ela-ja-foi-resolvido
59,Número de votos não superou quantidade de habitantes da cidade de Barreiras (BA),10/4/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/numero-de-votos-nao-superou-quantidade-de-habitantes-da-cidade-de-barreira-ba
60,Votação pode valer como prova de vida para o INSS,10/4/2022,Verdadeira,indefinido,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/votacao-vale-como-prova-de-vida-para-o-inss
61,"Boato sobre suposta anulação de 7,2 milhões de votos pelas urnas eletrônicas volta a circular",10/4/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/boato-sobre-suposta-anulacao-de-7-2-milhoes-de-votos-pelas-urnas-eletronicas-volta-a-circular
62,Empresa Smartmatic não tem acesso a programa das urnas; software é desenvolvido e gerido pela Justiça Eleitoral,10/4/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/empresa-smartmatic-nao-tem-acesso-a-programa-das-urnas-software-e-desenvolvido-e-gerido-pela-justica-eleitoral
63,É falsa lista de cidades nas quais número de votos em candidato à Presidência superou a população,10/4/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/e-falsa-lista-de-cidades-nas-quais-numero-de-votos-em-candidato-a-presidencia-superou-a-populacao
64,Divergência entre número de eleitores aptos a votar apenas para presidente e total do eleitorado da seção eleitoral não é indício de fraude,10/5/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/divergencia-entre-numero-de-eleitores-aptos-a-votar-apenas-para-presidente-e-total-do-eleitorado-da-secao-eleitoral-nao-e-indicio-de-fraude
65,Número maior de votos para presidente em seção de Macapá (AP) se deve ao voto em trânsito,10/5/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/numero-maior-de-votos-para-presidente-em-macapa-ap-se-deve-ao-voto-em-transito
66,"Urna não desbloqueia candidato secreto se eleitor pressionar as teclas ""5"", ""Branco"" e ""Corrige""",10/5/2022,Falsa,indefinido,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/urna-nao-desbloqueia-candidato-secreto-se-eleitor-pressionar-as-teclas-5-branco-corrige
67,Vídeo gera confusão sobre resultado em seção específica para voto em trânsito em Maceió (AL),10/5/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/video-confunde-quanto-a-resultado-em-secao-especifica-para-voto-em-transito-em-maceio
68,Comprovante de votação não indica em quem o eleitor votou e não pode ser utilizado como forma de auditoria,10/5/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/comprovante-de-votacao-nao-indica-em-quem-o-eleitor-votou-e-nao-pode-ser-utilizado-como-forma-de-auditoria
69,"É falso que virada de candidato à Presidência foi ""ditada por algoritmo"", como diz post",10/5/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/e-falso-que-virada-de-candidato-a-presidencia-foi-ditada-por-algoritmo-como-diz-post
70,Urna que não permitia votação para presidente apresentou defeito e foi substituída,10/6/2022,,indefinido,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/urna-que-nao-permitia-votacao-presidente-apresentou-defeito-e-foi-substituida
71,TRE-TO esclarece: número maior de votos para presidente em seções do estado se deve ao voto em trânsito,10/6/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/tre-to-esclarece-numero-maior-de-votos-para-presidente-em-secoes-do-estado-se-deve-ao-voto-em-transito
72,TRE-MG informa que é falsa informação sobre seção eleitoral que não foi computada no resultado da eleição,10/6/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/tre-mg-informa-que-e-falsa-informacao-sobre-secao-eleitoral-que-nao-foi-computada-no-resultado-da-eleicao
73,Vídeos que levantam suspeitas sobre divergência entre eleitorado da seção e número de votos para presidente em MG são enganosos,10/6/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/videos-que-levantam-suspeitas-sobre-divergencia-entre-eleitorado-da-secao-e-numero-de-votos-para-presidente-em-mg-sao-enganosos
74,TSE autorizou campanha de conscientização sobre vacina contra a poliomielite,10/6/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/tse-autorizou-campanha-poliomielite
75,Exército não pediu código-fonte de urnas eletrônicas por ter descoberto fraude no “voto de rebanho”,10/7/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/exercito-nao-pediu-codigo-fonte-de-urnas-eletronicas-por-ter-descoberto-fraude-no-201cvoto-de-rebanho201d
76,Boato: Toffoli não assumiu a Presidência do TSE no lugar de Moraes,10/7/2022,Falsa,indefinido,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/boato-toffoli-nao-assumiu-a-presidencia-do-tse-no-lugar-de-moraes
77,É falso que haja divergência de dados em boletins de urna de São Joaquim da Barra (SP),10/7/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/e-falso-que-haja-divergencia-de-dados-em-boletins-de-urna-de-sao-joaquim-da-barra-sp
78,Eleitor pressionou duas teclas ao mesmo tempo para simular problema na votação para presidente em Novo Hamburgo (RS),10/7/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/eleitor-pressionou-duas-teclas-ao-mesmo-tempo-para-simular-problema-na-votacao-para-presidente-em-novo-hamburgo-rs
79,Áudio atribuído a Ciro Gomes com acusação de fraude eleitoral é falso,10/7/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/audio-atribuido-a-ciro-gomes-com-acusacao-de-fraude-eleitoral-e-falso
80,"Esclarecimento: vídeo que aponta 55% dos votos para um dos candidatos não é falha do TSE, mas resultado no Paraná",10/7/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/esclarecimento-video-que-aponta-55-dos-votos-para-um-dos-candidatos-nao-e-falha-do-tse-mas-resultado-no-parana
81,Exército não interferiu na apuração dos votos no primeiro turno das Eleições Gerais de 2022,10/7/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/exercito-nao-interferiu-na-apuracao-dos-votos-no-primeiro-turno-eleicoes-2022
82,"Eleições 2022: não ocorreu atraso na totalização, como sugere vídeo",10/7/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/eleicoes-2022-nao-ocorreu-atraso-na-totalizacao-como-sugere-video
83,TRE-PB informa que é falsa a informação sobre suposta irregularidade no envio de mídias de resultados em João Pessoa,10/8/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/tre-pb-informa-que-e-falsa-a-informacao-sobre-suposta-irregularidade-no-envio-de-midias-de-resultados-em-joao-pessoa
84,É falso que todas as urnas de local de votação no RS tiveram 129 votos para mesmo candidato à Presidência,10/10/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/e-falso-que-todas-as-urnas-de-secao-no-rs-tiveram-129-votos-para-mesmo-candidato-a-presidencia
